fold,pixel_accuracy,dice_per_class,dice_macro,iou_per_class,iou_macro,precision,recall,f1,f1_macro
Val1,0.8557705879211426,"[0.8990594148635864, 0.7486932277679443, 0.5649803876876831, 0.920386016368866]",0.7832797169685364,"[0.8431212306022644, 0.7486932277679443, 0.520382285118103, 0.920386016368866]",0.7581456899642944,"[0.8939991593360901, 1.0, 0.6296712756156921, 1.0]","[0.9397937655448914, 0.7486932277679443, 0.8561623692512512, 0.920386016368866]","[0.899060070514679, 0.7486957311630249, 0.5712649822235107, 0.920386791229248]",0.7848519086837769
Val2,0.8491843938827515,"[0.8695247769355774, 0.8402585387229919, 0.6063629388809204, 0.9284394979476929]",0.8111463785171509,"[0.8143256306648254, 0.8402585387229919, 0.5637533664703369, 0.9284394979476929]",0.786694347858429,"[0.8272449970245361, 1.0, 0.7942449450492859, 0.9990766644477844]","[0.979261577129364, 0.8402585387229919, 0.7335034012794495, 0.9293628931045532]","[0.869530975818634, 0.8402601480484009, 0.614208459854126, 0.928440272808075]",0.8131099343299866
Val3,0.8150489926338196,"[0.8688601851463318, 0.798661470413208, 0.5396458506584167, 0.9341884851455688]",0.7853390574455261,"[0.8104098439216614, 0.798661470413208, 0.5076807141304016, 0.9341884851455688]",0.7627350687980652,"[0.8183358907699585, 1.0, 0.7861180901527405, 1.0]","[0.9886369705200195, 0.798661470413208, 0.7024101614952087, 0.9341884851455688]","[0.868861198425293, 0.7986634969711304, 0.5440537929534912, 0.9341892004013062]",0.7864418625831604
Val4,0.8653723001480103,"[0.9008540511131287, 0.8585254549980164, 0.5821415185928345, 0.9296897053718567]",0.8178026676177979,"[0.8564938902854919, 0.8585254549980164, 0.5635034441947937, 0.9296897053718567]",0.8020530939102173,"[0.8605503439903259, 1.0, 0.7817484736442566, 1.0]","[0.9937690496444702, 0.8585254549980164, 0.7489585280418396, 0.9296897053718567]","[0.9008547067642212, 0.858526885509491, 0.5935153365135193, 0.929690420627594]",0.8206468224525452
