fold,pixel_accuracy,dice_per_class,dice_macro,iou_per_class,iou_macro,precision,recall,f1,f1_macro
Val1,0.9966430068016052,0.45705705881118774,0.45705705881118774,0.45630133152008057,0.45630133152008057,0.9252533912658691,0.4577648639678955,0.49563339352607727,0.49563339352607727
Val2,0.9980075359344482,0.49871161580085754,0.4987116754055023,0.49846312403678894,0.49846312403678894,0.9995018839836121,0.4989612102508545,0.49871668219566345,0.49871668219566345
Val3,0.9975892305374146,0.5196364521980286,0.5196365118026733,0.5193359851837158,0.5193359851837158,0.9993972778320312,0.5199386477470398,0.5196413397789001,0.5196412801742554
Val4,0.9980332255363464,0.6186702847480774,0.6186702847480774,0.6184244751930237,0.6184244751930237,0.9980855584144592,0.6189157962799072,0.6196797490119934,0.6196799278259277
